ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.53,227.5,25.8,17.9,2.0,kedelai,88,1.821,low,JAWA TENGAH,2021,nasa_power,seasonal_estimate,51769.0,28431.0
0.53,234.8,26.0,17.9,2.0,kedelai,88,1.317,low,DAERAH ISTIMEWA YOGYAKARTA,2021,nasa_power,seasonal_estimate,8151.0,6189.0
0.53,200.7,26.5,18.1,2.0,kedelai,88,1.697,low,JAWA TIMUR,2021,nasa_power,seasonal_estimate,73746.0,43458.0
0.53,254.3,25.6,16.8,2.0,kedelai,88,1.075,medium,BANTEN,2021,nasa_power,seasonal_estimate,386.0,359.0
0.53,195.3,25.2,19.5,2.0,kedelai,88,1.768,low,BALI,2021,nasa_power,seasonal_estimate,2956.0,1672.0
0.48,151.8,26.2,19.9,2.0,kedelai,88,1.567,low,NUSA TENGGARA BARAT,2021,nasa_power,seasonal_estimate,19412.0,12390.0
0.48,245.2,26.6,20.2,2.0,kedelai,88,1.641,low,NUSA TENGGARA TIMUR,2021,nasa_power,seasonal_estimate,2293.0,1397.0
0.48,336.7,25.8,17.6,2.0,kedelai,88,2.653,low,KALIMANTAN BARAT,2021,nasa_power,seasonal_estimate,252.0,95.0
0.48,256.6,26.8,17.7,2.0,kedelai,88,1.6,low,KALIMANTAN TENGAH,2021,nasa_power,seasonal_estimate,32.0,20.0
0.48,269.6,26.4,16.4,2.0,kedelai,88,1.749,low,KALIMANTAN SELATAN,2021,nasa_power,seasonal_estimate,852.0,487.0
0.48,226.2,25.7,17.4,2.0,kedelai,88,1.667,low,KALIMANTAN TIMUR,2021,nasa_power,seasonal_estimate,115.0,69.0
0.48,243.4,23.2,18.0,2.0,kedelai,88,1.667,low,KALIMANTAN UTARA,2021,nasa_power,seasonal_estimate,5.0,3.0
0.48,217.0,24.5,18.4,2.0,kedelai,88,1.548,low,SULAWESI UTARA,2021,nasa_power,seasonal_estimate,2812.0,1817.0
0.48,208.8,21.7,16.9,2.0,kedelai,88,1.042,medium,SULAWESI TENGAH,2021,nasa_power,seasonal_estimate,4230.0,4061.0
0.48,295.7,22.9,18.5,2.0,kedelai,88,1.823,low,SULAWESI SELATAN,2021,nasa_power,seasonal_estimate,4672.0,2563.0
0.48,232.4,26.4,17.1,2.0,kedelai,88,1.713,low,SULAWESI TENGGARA,2021,nasa_power,seasonal_estimate,574.0,335.0
0.48,235.8,25.9,18.4,2.0,kedelai,88,1.722,low,GORONTALO,2021,nasa_power,seasonal_estimate,577.0,335.0
0.48,258.8,20.6,17.1,2.0,kedelai,88,2.263,low,SULAWESI BARAT,2021,nasa_power,seasonal_estimate,8633.0,3815.0
0.48,226.2,26.8,16.6,2.0,kedelai,88,1.5,low,MALUKU,2021,nasa_power,seasonal_estimate,6.0,4.0
0.48,246.2,27.0,18.0,2.0,kedelai,88,1.571,low,MALUKU UTARA,2021,nasa_power,seasonal_estimate,22.0,14.0
0.48,293.4,23.4,16.8,2.0,kedelai,88,1.583,low,PAPUA BARAT,2021,nasa_power,seasonal_estimate,38.0,24.0
0.48,217.9,23.2,16.2,2.0,kedelai,88,1.4,low,PAPUA,2021,nasa_power,seasonal_estimate,70.0,50.0
0.48,270.2,19.5,16.7,2.0,kedelai,88,1.674,low,ACEH,2022,nasa_power,seasonal_estimate,1786.0,1067.0
0.48,357.1,21.8,17.1,2.0,kedelai,88,1.653,low,SUMATERA UTARA,2022,nasa_power,seasonal_estimate,8494.0,5138.0
