ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.52,217.0,24.5,18.4,2.0,jagung,100,4.265,medium,SULAWESI UTARA,2021,nasa_power,seasonal_estimate,166580.0,39056.0
0.52,208.8,21.7,16.9,2.0,jagung,100,4.488,medium,SULAWESI TENGAH,2021,nasa_power,seasonal_estimate,63515.0,14152.0
0.52,295.7,22.9,18.5,2.0,jagung,100,5.564,low,SULAWESI SELATAN,2021,nasa_power,seasonal_estimate,1033341.0,185725.0
0.52,232.4,26.4,17.1,2.0,jagung,100,3.959,medium,SULAWESI TENGGARA,2021,nasa_power,seasonal_estimate,78350.0,19792.0
0.52,235.8,25.9,18.4,2.0,jagung,100,4.821,low,GORONTALO,2021,nasa_power,seasonal_estimate,669890.0,138958.0
0.52,258.8,20.6,17.1,2.0,jagung,100,5.058,low,SULAWESI BARAT,2021,nasa_power,seasonal_estimate,7967.0,1575.0
0.52,226.2,26.8,16.6,2.0,jagung,100,3.853,medium,MALUKU,2021,nasa_power,seasonal_estimate,14692.0,3813.0
0.52,246.2,27.0,18.0,2.0,jagung,100,5.058,low,MALUKU UTARA,2021,nasa_power,seasonal_estimate,10329.0,2042.0
0.52,293.4,23.4,16.8,2.0,jagung,100,4.321,medium,PAPUA BARAT,2021,nasa_power,seasonal_estimate,4753.0,1100.0
0.52,217.9,23.2,16.2,2.0,jagung,100,5.254,low,PAPUA,2021,nasa_power,seasonal_estimate,16120.0,3068.0
0.52,270.2,19.5,16.7,2.0,jagung,100,5.801,low,ACEH,2022,nasa_power,seasonal_estimate,72242.0,12454.0
0.52,357.1,21.8,17.1,2.0,jagung,100,6.293,low,SUMATERA UTARA,2022,nasa_power,seasonal_estimate,1307477.0,207757.0
0.52,367.9,23.3,17.2,2.0,jagung,100,6.734,low,SUMATERA BARAT,2022,nasa_power,seasonal_estimate,569450.0,84565.0
0.52,271.9,26.1,17.4,2.0,jagung,100,3.47,high,RIAU,2022,nasa_power,seasonal_estimate,753.0,217.0
0.52,239.1,26.0,16.4,2.0,jagung,100,5.538,low,JAMBI,2022,nasa_power,seasonal_estimate,10477.0,1892.0
